German,English
das Accessoire,accessory
die AG (Aktiengesellschaft),ltd. (limited company)
die Altenpflege,care of the elderly
die Anfahrt, arrival
der/die Anlagenmechaniker/in,plant mechanic
das Arbeitsamt,job centre
die Arbeitsstätte,workplace
die Automatisierungstechnik,automation technology
die Automobilindustrie,automotive industry
der Automobilzulieferer,automotive supplier
der Bankettsaal,banquet hall
die Baustelle,construction site
die Betreuung,mentoring
der Betrieb,operation
der Bezirk,district
der/die Direktor/in,director
der/die Dolmetscher/in,interpreter
die EC-Karte,ec card
der Einzelhandel,retail
der/die Elektriker/in,electrician
der Elektromarkt,electrical store
der Export,export
die Fachübersetzung,specialist translation
der Fahrdienst,transport service
die Fahrzeugsicherheit,vehicle safety
die Fertigungstechnik,manufacturing technology
der/die Freiberufler/in,freelancer
das Frühstücksbüfett,breakfast buffet
die Garantieleistung,warranty coverage
die Gartenterrasse,garden patio
die Geborgenheit,feeling of security
die Gehminute,minute’s walk
das Großhandelsunternehmen,wholesale company
der Großraum,greater area
der/die Gynäkologe/Gynäkologin,gynaecologist
der/die Händler/in,distributor
das Heim,home
die Heizungsinstallation,heating system
der/die Helfer/in,helper
der/die Hersteller/in,manufacturer
die Homepage,home page
der/die Hotelkaufmann/Hotelkauffrau,hotel manager
der/die Investor/in,investor
die Karriere,career
die Klinik,clinic
die Konferenz,conference
das Konferenzzentrum,conference centre
der/die Kundenberater/in,customer service advisor
der Kundenservice,customer service
die Lebensqualität,quality of life
das Leistungsspektrum,range of services
das Lektorat,proofreading
das Logo,logo
die Marke,brand
der Master,master’s degree
das Menü,menu
die Montage,assembly
die Nachhaltigkeit,sustainability
das Netz,web
der Notfall,emergency
das Notfallzentrum,emergency centre
die Orthopädie,orthopaedics
der/die Personalkaufmann/Personalkauffrau,human resource manager
die Pflege,care
der/die Pfleger/in,carer
die Presse,press
die Produktvielfalt,product diversity
der Rahmen,frame
die Rezeption,reception
das Rohr,pipe
der/die Sachbearbeiter/in,person responsible
die Sanitärfirma,sanitary service company
das Schriftstück,written document
das Seniorenstift,care home for the elderly
die Servicekraft,waiter/waitress
der/die Spezialist/in,specialist
die Suite,suite
die Technik,technology
die Technikerschule,technical school
die Textilfirma,textile company
die Textilien (Pl.), textiles (pl.)
das Tischtennis,table tennis
der/die Übersetzer/in,translator
der Übersetzungsdienst,translation agency
die Übersetzungsleistung,translation service
die Unfallchirurgie,emergency surgery
der Wartungsdienst,maintenance service
abhängen,to hang around
abwarten,to wait for/until
altmodisch,old-fashioned
angemessen,appropriate
annehmen,to accept
die Anredeform,form of address
ansprechen,to address/bring up
die Arbeitsatmosphäre,working atmosphere
das Arbeitsleben,working life
arbeitslos,unemployed
der Arbeitsmarkt,job market
das Argument,argument
die Atmosphäre,atmosphere
der Ausbildungsberuf,skilled occupation
die Ausbildungsform,form of training
die Auseinandersetzung,discussion
aushelfen,to help out
ausladen,to unload
auspacken,to unpack
ausschließen,to exclude
auswählen,to select
die Baufirma,construction company
beitragen,to contribute
beladen,loaded
die Berufschance,career prospect
die Berufsmöglichkeit,career opportunity
die Bildung,education
die Branche,branch
die Buchführung,accounting
das Computerzubehör,computer accessories
dienstältere,senior
die Distanz,distance
dual,dual
durchführen,to carry out
duzen,to use the ‘du’ form
dynamisch,dynamic
einheitlich,standard/uniform
einräumen,to concede/grant
einsortieren,to sort
einzeln,individual
entspannt,relaxed
die Fabrik,fabric
die Finanzabteilung,finance department
die Firmenkultur,company culture
die Firmenphilosophie,company philosophy
gebrauchen,used
die Gehaltsabrechnung,payslip
die Geschäftsleitung,executive committee
gewiss,certain
herumgehen,to go around
die Hierarchie,hierarchy
ideal,ideal
der/die Idiot/in,idiot
das Image,image
die Immobilienbranche,real estate industry
die Immobilienfirma,real estate company
die Informatik,information technology (IT)
der Internetauftritt,online presence
jedenfalls,anyway
der/die Journalist/in,journalist
die Konkurrenz,competition
konservativ,conservative
die Kundenzufriedenheit,customer satisfaction
das Laboratorium,laboratory
der Lautsprecher,loud speaker
leichtfallen,to be easy for sb
der LKW (= Lastkraftwagen),truck
locker,relaxed/loose
die Logistik,logistics
der Lohn,wage
die Lohnabrechnung,payslip
die Marketingabteilung,marketing department
der/die Marktleiter/in,market leader
die Marktstudie,market study
die Medienbranche,media industry
das Mediendesign,media design
der/die Mediendesigner/in,media designer
die Metallindustrie,metal industry
das Möbelhaus,furniture store
die Pharmaindustrie,pharmaceutical industry
plaudern,to chat
der/die Praktikant/in,intern
die Produktion,production
die Regelung,regulation
respektlos,disrespectful
respektvoll,respectful
der Schritt,step
die Sicht,sight
siezen,to use the ‘Sie’ form
signalisieren,to signal
skeptisch,sceptical
der/die Sprecher/in,speaker
die Stellung,position
suggerieren,to suggest
die Tastatur,keyboard
der Tourismus,tourism
der Transport,transport
transportieren,to transport
das Umfeld,environment
umkehren,to turn back
unkompliziert,uncomplicated
unsachlich,unobjective
unsicher,uncertain
die Unternehmenskultur,corporate culture
die Unternehmensstruktur,corporate structure
verhalten,to behave
der Verkauf,sale
das Verkaufstalent,sales talent
die Vertrautheit,familiarity
der/die Vorgesetzte,superior
der Wandel,change
die Webcam,webcam
die Werbestrategie,marketing strategy
wirken,to have an effect
zielen,to target
die Zuständigkeit,responsibility
das Altenwohnheim,old people’s home
die Altersbegrenzung,age limit
ambulant,outpatient
die Angebotserstellung,quote generation
anhören,to listen to
anrichten,to cause
anschließen,to connect
die Arbeitsförderung,employment promotion
der/die Arbeitsvermittler/in,employment agency
assistieren,to assist
aufnehmen,to receive
die Ausbildungsart,type of qualification
der Ausbildungsaufbau,structure of qualification
die Ausbildungsstelle,training institute
die Ausbildungszeit,training period
die Ausschreibung,call for tender
die Bedienung,service
die Behinderung,disability
beispielsweise,for example
berufsbezogen,career-related
das Berufsbild,job outline
die Berufsfachschule,vocational college
berufssprachlich,business language
der Berufstyp,type of occupation
die Beschäftigung,employment
beschließen,to resolve
bestehen,to persist
betreuen,to mentor/oversee
betten,to embed
der/die Bilanzbuchhalter/in,report accountant
der Bildungsabschluss,educational level
die Branchenkenntnis,industry knowledge
die Buchung,booking
die Bundesagentur für Arbeit (BA),Federal Employment Agency
derzeitig,current
diagnostisch,diagnostic
diesbezüglich,in this regard
die Druckschrift,printed medium
der Eingriff,intervention
einleiten,to initiate
erbauen,to construct
erwünscht,desired
die Facharztpraxis,specialist medical practice
die Familientradition,family tradition
die Festanstellung,permanent job
feststellen,to determine
fortan,from now on
die Fortbildungsakademie,training academy
das Fremdenzimmer,guest room
der Frühstücksablauf,breakfast times
die Frühstückspension,bed and breakfast
frühzeitig,premature
fundiert,substantiated
das Gastgewerbe,hospitality industry
gelegentlich,occasionally
der Geschäftsablauf,course of business
das Gesundheitszentrum,health centre
der Gesundheitszustand,state of health
die Grundbildung,basic education
die Grundpflege,basic care
die Handelssprache,commercial language
hauseigen,in-house
die Internetbewerbung,internet job application
das Internetportal,internet portal
jetzig,present-day
die Jobbörse,online job market
die Kompetenz,competency
koordinieren,to coordinate
die Körperpflege,personal hygiene
der Kredit,loan
die Kurzzeitpflege,short-term care
die Maßnahme,measure
das Messehotel,conference hotel
der Mikrokredit,micro loan
nachlesen,to read up on
der/die Näher/in,tailor/seamstress
die Nähmaschine,sewing machine
die Nahrungsaufnahme,food intake
das Onlineportal,online portal
operativ,operational
die Organisationsaufgabe,organisational task
die Pension,guesthouse
der/die Personalchef/in,head of personnel
der/die Pflegebedürftige/r,care-dependent person
der Pflegedienst,care service
das Pflegeheim,care home
die Pflegemaßnahme,care measure
das Porträtfoto,portrait photo
die Primarschule,primary school
reibungslos,without a hitch
die Reinigungskraft,cleaner
das Resort,resort
der Schichtdienst,shift work
die Schneiderei,tailor’s
schulisch,educational
die Sekundarschule,secondary school
selbstständig,independent
sowie,just as
die Sprachförderung,language development
die Sprachkenntnis,language skill
staatlich,state
der Steckbrief,profile
die Stellenausschreibung,job advertisement
der Stellenmarkt,job market
das Stellenportal,online job portal
täglich,daily
therapeutisch,therapeutic
umbenennen,to rename
umsiedeln,to relocate
der Umstand,circumstance
unliniert,unlined
die Veränderung,modification
die Verfolgung,pursuit
vergrößern,to enlarge
verkürzen,to shorten
die Verwaltungsaufgabe,administrative task
voraussetzen,to require
vorwärtskommen,to make progress
wegschicken,to send away
weiterführen,to continue with
der Wellnessbereich,wellness area
der Weltkrieg,world war
wesentlich,significant
das Wohnheim,hostel/hall of residence
das Zimmermädchen,maid
der Zimmerservice,room service
zudem,moreover
abarbeiten,to work through/process
der Ablauf,process
abräumen,to clear up
die Aktion,special offer
alleinerziehend,single (parent)
anpflanzen,to plant
anschließend,subsequent
der/die Arbeitnehmer/in,employee
der Arbeitsablauf,workflow
die Arbeitsbedingung,working condition
das Arbeitspensum,workload
der Arbeitsschritt,work stage
die Aufstiegschance,promotion prospect
der Ausdruck,expression
aussagen,to state
der Außentermin,external appointment
der Beitrag,contribution
das Betreuungsangebot,care offer
der Betreuungsplatz,place in childcare
der Betriebskindergarten,company nursery
das Betriebsklima,working atmosphere
das Bewerbungsgespräch,job interview
bewerten,to evaluate
bezeichnen,to designate
der Blog,blog
der/die Doktorand/in,doctor (phd)
der Druck,pressure
der Eindruck,impression
enorm,enormous
die Erreichbarkeit,contactability
erstellen,to create
der/die Erzieher/in,youth care worker
familienfreundlich,family-friendly
freiberuflich,freelance
die Frühschicht,early shift
der Frühstücksraum,breakfast room
fürchten,to fear
die Ganztagsschule,full-time school
geeignet,suitable
gelaunt,in a (good/bad) mood
der/die Geologe/Geologin,geologist
gering,low
die Gleitzeit,flexible working hours
die Grundlage,basis
heutig,contemporary
der Hut,hat
insbesondere,especially
die Kernzeit,core working hours
die Kinderbetreuung,childcare
die Kleinigkeit,small detail
kriegen,to get
kritisieren,to criticise
das Kuscheltier,stuffed animal
der/die Lagerist/in,warehouseman
langweilen,to be bored
leisten,to provide/achieve
das Lieblingsstofftier,favourite stuffed animal
der Link,link
das Lob,praise
logisch,logical
die Lohnerhöhung,pay increase
die Mandel,almond
die Maschine,machine
mitbestimmen,to participate
monoton,monotonous
die Nachtschicht,night shift
notwendig,necessary
nützlich,useful
die Nutzung,use
ordentlich,tidy
organisatorisch,organisational
parallel,parallel
passend,appropriate
platt,flat
posten,to post
die Priorität,priority
rausschmeißen,to chuck out
die Region,region
registrieren,to register
regulär,regular
die Routine,routine
sachlich,objective
die Schicht,shift
die Schichtarbeit,shift work
schildern,to portray
die Schürze,apron
die Schwierigkeit,difficulty
die Skala,scale
die Sozialleistung,social benefit
die Stimmung,mood
die Tagesmutter,child minder
die Tätigkeit,activity
der Tod,death
überfordert,overwhelmed
überleben,to survive
überwachen,to observe
umsehen,to look around
umsonst,for nothing
unterfordert,not challenged enough
untersuchen,to examine
unüberlegt,rash
unwichtig,unimportant
die Unzufriedenheit,dissatisfaction
die Vereinbarkeit,compatibility
das Verhältnis,relationship
verhandeln,to negotiate
die Verhandlung,negotiation
verschenken,to gift/give away
vertraglich,contractual
vervollständigen,to complete
vorgehen,to approach
die Wechselschicht,alternate shift
weitermachen,to continue
die Zufriedenheit,satisfaction
zunächst,first
der Zwilling,twin
abbauen,to break down
abhalten,to prevent
abmontieren,to dissemble
die Abreise,departure
der Abwasserschacht,manhole (waste water shaft)
der Alaskaseelachs,alaska pollack
anbringen,to affix
die Anreise,arrival
anreisen,to arrive
anschrauben,to screw on
der Arbeitsabschnitt,work section
die Arbeitsanweisung,work instruction
der Arbeitsbereich,work area
die Arbeitsplatzbeschreibung,job description
der Arbeitsprozess,working process
die Artischocke,artichoke
der Arztbesuch,visit to the doctor
die Aufforderung,prompt
auffüllen,to fill up
aufstemmen,to prise open
die Auftragsbestätigung,order confirmation
die Aufzeichnung,recording
auslegen,to interpret
ausleihen,to lend
ausrechnen,to calculate
das Baubüro,site office
der Bauplan,blueprint
der Beifahrersitz,front passenger seat
die Beilage,supplement/side dish
die Bemerkung,remark
die Bequemlichkeit,comfort
betanken,refuelling
der Beton,concrete
der/die Betriebsrat/Betriebsrätin,supervisory board member
bevorzugen,to favour
beziehen,to obtain
der Bohrhammer,drill hammer
die Buchungsbestätigung,booking confirmation
die Buchungsnummer,booking number
checken,to check
der Dachboden,attic
dennoch,however
derartig,of its type
die Dienstleistung,service
dokumentieren,to document
die Dropbox,dropbox
durchgehen,to go through
durchschauen,to look through
der Eingang,inbox
einpflegen,to update
entfernt,(distance) away
das Entrecôte,steak
erkranken,to fall ill
erreichbar,contactable
die Etage,floor (of a building)
extern,external
der Fahrersitz,driver’s seat
die Fahrgemeinschaft,car sharing
festgehalten,held tight
der/die Firmenkunde/Firmenkundin,company client
der Firmentransporter,company transporter/van
die Flugverbindung,connection (flight)
föhnen,to hair dry
freinehmen,to take leave
fußläufig,within walking distance
das Gasrohr,gas pipe
der Gasthof,guest house
gegebenenfalls,as applicable
die Geschäftsreise,business trip
das Gewerbegebiet,industrial estate
die Halterung,bracket
handeln,to trade
die Hauspost,internal mail
der Heizkörper,radiator
der Heizungsanschluss,heating connection
das Heizungsrohr,heating pipe
die Heizungstherme,heater
das Hotelbuchungsportal,hotel booking portal
die Hotelkategorie,hotel category
der Innenhof,inner courtyard
die Inventur,inventory
jeweilig,respective
die Kabeltrommel,cable reel
